,Texto,Clase,Clase1,Clase2,Clase3,Clase4,Clase5,Predicción
2006,"['archaeolog', 'evid', 'enmebaragesi', 'kish', 'earli', 'dynast', 'whose', 'name', 'also', 'mention', 'gilgamesh', 'epic', '—', 'lead', 'suggest', 'gilgamesh', 'might', 'histor', 'king', 'uruk']",1,1191.0,1231.0,1020.0,506.0,1501.0,5
2010,"['later', 'lugal-zage-si', 'priest-k', 'umma', 'overthrew', 'primaci', 'lagash', 'dynasti', 'area', 'conquer', 'uruk', 'make', 'capit', 'claim', 'empir', 'extend', 'persian', 'gulf', 'mediterranean', 'last']",1,964.0,1030.0,644.0,484.0,578.0,2
2017,"['follow', 'downfal', 'akkadian', 'empir', 'hand', 'gutian', 'anoth', 'nativ', 'sumerian', 'ruler', 'gudea', 'lagash', 'rose', 'local', 'promin', 'continu', 'practic', 'sargonid', 'king', 'claim']",1,1088.0,1328.0,1020.0,530.0,419.0,2
2020,"['larsa', 'eshnunna', 'time', 'later', 'babylonia', 'last', 'eventu', 'came', 'briefli', 'domin', 'south', 'mesopotamia', 'babylonian', 'empir', 'old', 'assyrian', 'empir', 'alreadi', 'done', 'north']",1,1164.0,1560.0,1068.0,734.0,855.0,2
2024,"['dissolv', 'salt', 'soil', 'eventu', 'reduc', 'agricultur', 'yield', 'sever', 'akkadian', 'ur', 'iii', 'phase', 'shift', 'cultiv', 'wheat', 'salt-toler', 'barley', 'insuffici', 'period', '2100']",1,537.0,486.0,372.0,259.0,766.0,5
2027,"['middl', 'bronz', 'age', 'independ', 'amorit', 'state', '20th', '18th', 'centuri', 'summar', 'dynasti', 'isin', 'sumerian', 'king', 'list', 'end', 'rise', 'babylonia', 'hammurabi', 'c']",1,1129.0,1544.0,1020.0,789.0,1163.0,2
2028,"['uruk', 'one', ""sumer'"", 'largest', 'citi', 'estim', 'popul', '50,000', '–', '80,000', 'height', ';[', '48', 'given', 'citi', 'sumer', 'larg', 'agricultur', 'popul', 'rough']",1,1448.0,1236.0,1225.0,1122.0,2627.0,5
2030,"['reveal', 'influenc', 'earlier', 'inhabit', '50', 'howev', 'archaeolog', 'record', 'show', 'clear', 'uninterrupt', 'cultur', 'continu', 'time', 'earli', 'ubaid', 'period', '5300', '–', '4700']",1,1300.0,1277.0,1066.0,718.0,2047.0,5
2033,"['form', 'irrig', 'agricultur', 'along', 'middl', 'tigri', 'river', 'tributari', 'connect', 'clearli', 'seen', 'tell', 'awayli', 'oueilli', 'oueili', 'near', 'larsa', 'excav', 'french', '1980']",1,494.0,585.0,517.0,566.0,729.0,4
2034,"['eight', 'level', 'yield', 'pre-ubaid', 'potteri', 'resembl', 'samarran', 'ware', 'accord', 'theori', 'farm', 'peopl', 'spread', 'southern', 'mesopotamia', 'develop', 'temple-cent', 'social', 'organ', 'mobil']",1,598.0,521.0,385.0,392.0,896.0,5
2035,"['other', 'suggest', 'continu', 'sumerian', 'indigen', 'hunter-fisherfolk', 'tradit', 'associ', 'bifaci', 'assemblag', 'found', 'arabian', 'littor', 'juri', 'zarin', 'believ', 'sumerian', 'may', 'peopl', 'live']",1,937.0,644.0,530.0,432.0,1288.0,5
2038,"['beneath', 'lu-gal', 'great', 'man', 'king', 'member', 'societi', 'belong', 'one', 'two', 'basic', 'strata', 'lu', 'free', 'person', 'slave', 'male', 'arad', 'femal', 'geme']",1,863.0,977.0,926.0,511.0,606.0,3
2039,"['son', 'lu', 'call', 'dumu-nita', 'marri', 'woman', 'munu', 'went', 'daughter', 'dumu-mi', 'wife', 'dam', 'outliv', 'husband', 'widow', 'numasu', 'could', 'remarri', 'anoth', 'man']",1,496.0,583.0,578.0,319.0,269.0,3
2056,"['ad', 'togeth', 'creat', 'sentenc', 'author', 'propos', 'may', 'evid', 'substratum', 'adstratum', 'languag', 'geograph', 'featur', 'variou', 'craft', 'agricultur', 'activ', 'call', 'various', 'proto-euphratean']",1,764.0,582.0,494.0,430.0,1094.0,5
2071,"['known', 'world', 'extend', 'upper', 'sea', 'mediterranean', 'coastlin', 'lower', 'sea', 'persian', 'gulf', 'land', 'meluhha', 'probabl', 'indu', 'valley', 'magan', 'oman', 'fame', 'copper']",1,754.0,695.0,624.0,426.0,1012.0,5
2078,"['earli', 'sumerian', 'uruk', 'period', 'primit', 'pictogram', 'suggest', 'sheep', 'goat', 'cattl', 'pig', 'domest', 'use', 'oxen', 'primari', 'beast', 'burden', 'donkey', 'equid', 'primari']",1,846.0,620.0,467.0,371.0,1414.0,5
2079,"['transport', 'anim', 'woollen', 'cloth', 'well', 'rug', 'made', 'wool', 'hair', 'anim', '. ...', 'side', 'hous', 'enclos', 'garden', 'plant', 'tree', 'plant', 'wheat', 'probabl']",1,502.0,360.0,362.0,300.0,891.0,5
2084,"['meant', 'canal', 'requir', 'frequent', 'repair', 'continu', 'remov', 'silt', 'survey', 'marker', 'boundari', 'stone', 'need', 'continu', 'replac', 'govern', 'requir', 'individu', 'work', 'canal']",1,572.0,594.0,568.0,673.0,803.0,4
2087,"['seed', 'unfortun', 'high', 'evapor', 'rate', 'result', 'gradual', 'increas', 'salin', 'field', 'ur', 'iii', 'period', 'farmer', 'switch', 'wheat', 'salt-toler', 'barley', 'princip', 'crop']",1,508.0,565.0,400.0,363.0,766.0,5
2088,"['sumerian', 'harvest', 'spring', 'three-person', 'team', 'consist', 'reaper', 'binder', 'sheaf', 'handler', '[8', '0', 'farmer', 'would', 'use', 'thresh', 'wagon', 'driven', 'oxen', 'separ']",1,849.0,570.0,633.0,664.0,1363.0,5
2090,"['diorit', 'preciou', 'metal', 'like', 'hammer', 'gold', 'incorpor', 'design', 'sinc', 'stone', 'rare', 'reserv', 'sculptur', 'widespread', 'materi', 'sumer', 'clay', 'result', 'mani', 'sumerina']",1,611.0,476.0,485.0,446.0,910.0,5
2091,"['object', 'made', 'clay', 'metal', 'gold', 'silver', 'copper', 'bronz', 'along', 'shell', 'gemston', 'use', 'finest', 'sculptur', 'inlay', 'small', 'stone', 'kind', 'includ', 'preciou']",1,891.0,655.0,685.0,492.0,1568.0,5
2098,"['accord', 'archibald', 'sayc', 'primit', 'pictogram', 'earli', 'sumerian', 'e', 'uruk', 'era', 'suggest', 'stone', 'scarc', 'alreadi', 'cut', 'block', 'seal', 'brick', 'ordinari', 'build']",1,641.0,379.0,282.0,271.0,1068.0,5
2100,"['could', 'open', 'sort', 'key', 'citi', 'gate', 'larger', 'scale', 'seem', 'doubl', 'foundat', 'stone', '—', 'rather', 'brick', '—', 'hous', 'consecr', 'certain', 'object']",1,760.0,670.0,627.0,509.0,1019.0,5
2104,"['wrote', 'multipl', 'tabl', 'clay', 'tablet', 'dealt', 'geometr', 'exercis', 'divis', 'problem', 'earliest', 'trace', 'babylonian', 'numer', 'also', 'date', 'back', 'period', '[8', '1']",1,890.0,746.0,669.0,513.0,1486.0,5
2107,"['discoveri', 'obsidian', 'far-away', 'locat', 'anatolia', 'lapi', 'lazuli', 'badakhshan', 'northeastern', 'afghanistan', 'bead', 'dilmun', 'modern', 'bahrain', 'sever', 'seal', 'inscrib', 'indu', 'valley', 'script']",1,387.0,219.0,242.0,147.0,878.0,5
2111,"['evid', 'import', 'indu', 'ur', 'found', 'around', '2350', 'bc', '[8', '7', 'variou', 'object', 'made', 'shell', 'speci', 'characterist', 'indu', 'coast', 'particularli', 'trubinella']",1,1220.0,645.0,689.0,395.0,1777.0,5
2112,"['pyrum', 'fasciolaria', 'trapezium', 'found', 'archaeolog', 'site', 'mesopotamia', 'date', 'around', '2500', '–', '2000', 'bc', '[8', '8]', 'carnelian', 'bead', 'indu', 'found', 'sumerian']",1,1409.0,615.0,531.0,321.0,2102.0,5
2113,"['tomb', 'ur', 'royal', 'cemeteri', 'ur', 'date', '2600', '–', '2450', '[8', '9', 'particular', 'carnelian', 'bead', 'etch', 'design', 'white', 'probabl', 'import', 'indu']",1,708.0,528.0,636.0,356.0,1018.0,5
2117,"['mention', 'presenc', 'meluhha', 'trader', 'interpret', 'mesopotamia', '[8', '9', 'twenti', 'seal', 'found', 'akkadian', 'ur', 'iii', 'site', 'connect', 'harappa', 'often', 'use', 'harappan']",1,902.0,675.0,504.0,400.0,1506.0,5
2119,"['squar', 'meter', 'thousand', 'settlement', 'compar', 'area', '65.000', 'squar', 'meter', 'occupi', 'area', 'mesopotamia', 'largest', 'citi', 'compar', 'size', '30', '–', '40,000', 'inhabit']",1,940.0,772.0,716.0,750.0,1731.0,5
2124,"['period', 'ruler', 'sign', 'clean', 'slate', 'decre', 'cancel', 'rural', 'commerci', 'debt', 'allow', 'bondserv', 'return', 'home', 'customarili', 'ruler', 'begin', 'first', 'full', 'year']",1,847.0,907.0,942.0,635.0,1174.0,3
2126,"['accord', 'hudson', 'purpos', 'decre', 'prevent', 'debt', 'mount', 'degre', 'threaten', 'fight', 'forc', 'could', 'happen', 'peasant', 'lost', 'subsist', 'land', 'becam', 'bondserv', 'due']",1,792.0,884.0,807.0,908.0,501.0,2
2127,"['almost', 'constant', 'war', 'among', 'sumerian', 'city-st', '2000', 'year', 'help', 'develop', 'militari', 'technolog', 'techniqu', 'sumer', 'high', 'level', '103', 'first', 'war', 'record']",1,1481.0,1234.0,1542.0,2113.0,1347.0,4
2129,"['carri', 'spear', 'wore', 'copper', 'helmet', 'carri', 'rectangular', 'shield', 'spearmen', 'shown', 'arrang', 'resembl', 'phalanx', 'format', 'requir', 'train', 'disciplin', 'impli', 'sumerian', 'may']",1,423.0,246.0,257.0,238.0,597.0,5
2133,"['brace', 'bit', 'nail', 'pin', 'ring', 'hoe', 'axe', 'knive', 'lancepoint', 'arrowhead', 'sword', 'glue', 'dagger', 'waterskin', 'bag', 'har', 'armor', 'quiver', 'war', 'chariot']",1,308.0,225.0,309.0,752.0,119.0,4
2139,"['administr', 'system', 'complet', 'court', 'jail', 'govern', 'record', 'first', 'true', 'city-st', 'aros', 'sumer', 'roughli', 'contemporan', 'similar', 'entiti', 'syria', 'lebanon', 'sever', 'centuri']",1,979.0,1128.0,908.0,708.0,768.0,2
2141,"['final', 'sumerian', 'usher', 'domest', 'intens', 'agricultur', 'irrig', 'emmer', 'wheat', 'barley', 'sheep', 'start', 'mouflon', 'cattl', 'start', 'auroch', 'foremost', 'among', 'speci', 'cultiv']",1,404.0,283.0,307.0,236.0,717.0,5
2153,"['known', 'access', 'date', 'iii', 'season', 'harvest', 'day', '27', '12', '13', 'estim', 'age', 'death', 'vari', '90', '91', 'consid', 'like', '14', '15']",1,785.0,803.0,758.0,560.0,1236.0,5
2154,"['ramess', 'ii', 'celebr', 'unpreced', 'thirteen', 'fourteen', 'sed', 'festiv', 'first', 'held', '30', 'year', ""pharaoh'"", 'reign', 'everi', 'three', 'year', 'reign', '—', 'pharaoh']",1,1249.0,1044.0,1282.0,687.0,1425.0,3
2159,"['troop', 'ship', 'strateg', 'point', 'along', 'coast', 'patient', 'allow', 'pirat', 'attack', 'perceiv', 'prey', 'skill', 'catch', 'surpris', 'sea', 'battl', 'captur', 'singl', 'action']",1,556.0,634.0,803.0,790.0,346.0,3
2167,"['weapon', 'chariot', 'shield', 'supposedli', 'produc', '1,000', 'weapon', 'week', '250', 'chariot', 'two', 'week', '1,000', 'shield', 'week', 'half', 'prepar', 'ramess', 'move', 'attack']",1,703.0,538.0,804.0,1087.0,1700.0,5
2171,"['led', 'son', 'amun-her-khepeshef', 'chase', 'warrior', 'šhasu', 'tribe', 'across', 'negev', 'far', 'dead', 'sea', 'captur', 'edom-seir', 'march', 'captur', 'moab', 'forc', 'led', 'ramess']",1,862.0,959.0,820.0,960.0,342.0,2
2172,"['attack', 'jerusalem', 'jericho', 'enter', 'moab', 'rejoin', 'son', 'reunit', 'armi', 'march', 'hesbon', 'damascu', 'kumidi', 'final', 'recaptur', 'upi', 'land', 'around', 'damascu', 'reestablish']",1,580.0,893.0,587.0,700.0,316.0,2
2177,"['thin', 'strip', 'territori', 'pinch', 'amurru', 'kadesh', 'make', 'stabl', 'possess', 'within', 'year', 'return', 'hittit', 'fold', 'ramess', 'march', 'dapur', 'tenth', 'year', 'time']",1,866.0,844.0,887.0,635.0,1371.0,5
2178,"['claim', 'fought', 'battl', 'without', 'even', 'bother', 'put', 'corslet', 'two', 'hour', 'fight', 'began', 'six', ""ramesses'"", 'youth', 'son', 'still', 'wear', 'side', 'lock']",1,730.0,846.0,770.0,807.0,450.0,2
2180,"['depos', 'hittit', 'king', 'mursili', 'iii', 'fled', 'egypt', 'land', ""country'"", 'enemi', 'failur', 'plot', 'oust', 'uncl', 'throne', 'ḫattušili', 'iii', 'respond', 'demand', 'ramess']",1,833.0,923.0,732.0,377.0,165.0,2
2190,"['kadashman-enlil', 'ii', 'kassit', 'king', 'karduniaš', 'babylon', 'spirit', 'remind', 'time', 'father', 'kadashman-turgu', 'offer', 'fight', 'ramess', 'ii', 'king', 'egypt', 'hittit', 'king', 'encourag']",1,1489.0,1680.0,1493.0,455.0,360.0,2
2198,"['may', 'record', 'aswan', 'stele', 'year', '2', 'hark', 'back', ""ramesses'"", 'presenc', ""father'"", 'libyan', 'campaign', 'perhap', 'seti', 'achiev', 'suppos', 'control', 'region', 'plan']",1,844.0,687.0,731.0,716.0,1272.0,5
2201,"['sed', 'festiv', 'tradit', 'held', 'everi', 'three', 'year', '30th', 'year', 'ramess', 'ii', 'sometim', 'held', 'two', 'year', 'eventu', 'celebr', 'unpreced', '13', '14']",1,1197.0,1044.0,1184.0,800.0,1850.0,5
2205,"['ambiti', 'build', 'project', 'pyramid', 'built', 'almost', '1,500', 'year', 'earlier', 'popul', 'put', 'work', 'chang', 'face', 'egypt', 'thebe', 'ancient', 'templ', 'transform', 'one']",1,1420.0,897.0,1082.0,810.0,2017.0,5
2212,"['palac', 'complet', 'zoo', '10th', 'centuri', 'ad', 'bibl', 'exeget', 'rabbi', 'saadia', 'gaon', 'believ', 'biblic', 'site', 'ramess', 'identifi', 'sham', '55', 'time', 'earli']",1,908.0,1000.0,634.0,323.0,1033.0,2
2213,"['20th', 'centuri', 'site', 'misidentifi', 'tani', 'due', 'amount', 'statuari', 'materi', 'pi-ramess', 'found', 'recognis', 'ramessid', 'remain', 'tani', 'brought', 'elsewher', 'real', 'pi-ramess', 'lie']",1,684.0,841.0,514.0,293.0,939.0,2
2214,"['30', 'km', '18.6', 'mi', 'south', 'near', 'modern', 'qantir', '56', 'coloss', 'feet', 'statu', 'ramess', 'almost', 'remain', 'ground', 'today', 'rest', 'buri', 'field']",1,566.0,498.0,492.0,352.0,903.0,5
2216,"['orient', 'northwest', 'southeast', 'templ', 'preced', 'two', 'court', 'enorm', 'pylon', 'stood', 'first', 'court', 'royal', 'palac', 'left', 'gigant', 'statu', 'king', 'loom', 'back']",1,947.0,987.0,1247.0,603.0,492.0,3
2217,"['fragment', 'base', 'torso', 'remain', 'syenit', 'statu', 'enthron', 'pharaoh', '17', 'metr', '56', 'ft', 'high', 'weigh', '1,000', 'tonn', '980', 'long', 'ton', '1,100']",1,668.0,564.0,688.0,776.0,1912.0,5
2219,"['pylon', 'portion', 'osirid', 'portico', 'right', 'scene', 'war', 'alleg', 'rout', 'hittit', 'kadesh', 'repeat', 'wall', 'upper', 'regist', 'feast', 'honor', 'phallic', 'deiti', 'min']",1,490.0,341.0,475.0,852.0,237.0,4
2220,"['opposit', 'side', 'court', 'osirid', 'pillar', 'column', 'still', 'remain', 'may', 'furnish', 'idea', 'origin', 'grandeur', '58', 'scatter', 'remain', 'two', 'statu', 'seat', 'king']",1,878.0,1037.0,1026.0,614.0,855.0,3
2228,"['coloss', 'statu', 'ramess', 'ii', 'date', 'back', '3,200', 'year', 'origin', 'discov', 'six', 'piec', 'templ', 'near', 'memphi', 'weigh', '83', 'tonn', '(8', '2']",1,999.0,681.0,802.0,666.0,1951.0,5
2235,"['1975', 'mauric', 'bucail', 'french', 'doctor', 'examin', 'mummi', 'cairo', 'museum', 'found', 'poor', 'condit', 'french', 'presid', 'valéri', 'giscard', ""d'esta"", 'succeed', 'convinc', 'egyptian']",1,426.0,552.0,659.0,893.0,384.0,4
2236,"['author', 'send', 'mummi', 'franc', 'treatment', 'septemb', '1976', 'greet', 'pari', '–', 'le', 'bourget', 'airport', 'full', 'militari', 'honour', 'befit', 'king', 'taken', 'laboratori']",1,725.0,1028.0,1148.0,833.0,460.0,3
2237,"['mummi', 'forens', 'test', 'professor', 'pierre-fernand', 'ceccaldi', 'chief', 'forens', 'scientist', 'crimin', 'identif', 'laboratori', 'pari', 'professor', 'ceccaldi', 'determin', 'hair', 'astonishingli', 'preserv', 'show']",1,172.0,158.0,161.0,173.0,240.0,5
2242,"['back', 'last', 'decad', 'life', '[8', '0', '2004', 'studi', 'exclud', 'ankylos', 'spondyl', 'possibl', 'caus', 'propos', 'diffus', 'idiopath', 'skelet', 'hyperostosi', 'possibl', 'altern']",1,527.0,487.0,650.0,592.0,1425.0,5
2243,"['[8', '1', 'confirm', 'recent', 'work', '[8', '2', 'signific', 'hole', ""pharaoh'"", 'mandibl', 'detect', 'research', 'observ', 'abscess', 'teeth', 'seriou', 'enough', 'caus', 'death']",1,669.0,541.0,699.0,508.0,1022.0,5
2246,"['17', 'book', 'dead', 'astronom', 'ceil', 'repres', 'heaven', 'paint', 'dark', 'blue', 'myriad', 'golden', 'five-point', 'star', 'east', 'wall', 'antechamb', 'interrupt', 'larg', 'open']",1,386.0,389.0,422.0,344.0,605.0,5
2248,"['welcom', 'north', 'wall', 'antechamb', 'stairway', 'burial', 'chamber', 'vast', 'quadrangular', 'room', 'cover', 'surfac', 'area', '90', 'squar', 'metr', '970', 'sq', 'ft', 'astronom']",1,336.0,263.0,247.0,207.0,451.0,5
2254,"['4', 'believ', 'least', 'four', ""ramesses'"", 'son', 'includ', 'meryatum', 'seti', 'amun-her-khepeshef', ""ramesses'"", 'first-born', 'son', ""king'"", 'princip', 'son', 'bodi', 'generalissimo', 'ramess', 'justifi']",1,920.0,1125.0,900.0,351.0,512.0,2
2256,"['wear', 'wig', 'symbol', 'ka', 'head', 'measur', '55', 'cm', '21.65', 'wide', '45', 'cm', '17.71', 'thick', '105', 'cm', '41.33', 'long', 'alongsid', 'bust']",1,293.0,167.0,206.0,187.0,385.0,5
2259,"['time', 'death', 'age', '90', 'year', 'ramess', 'suffer', 'sever', 'dental', 'problem', 'plagu', 'arthriti', 'harden', 'arteri', '[8', '7', 'made', 'egypt', 'rich', 'suppli']",1,1140.0,995.0,1028.0,655.0,1520.0,5
2260,"['ramess', 'basi', 'perci', 'byssh', ""shelley'"", 'poem', 'ozymandia', 'diodoru', 'siculu', 'give', 'inscript', 'base', 'one', 'sculptur', 'king', 'king', 'osymandia', 'anyon', 'would', 'know']",1,1069.0,1157.0,1072.0,418.0,414.0,3
2261,"['life', 'ramess', 'ii', 'inspir', 'mani', 'fiction', 'represent', 'includ', 'histor', 'novel', 'french', 'writer', 'christian', 'jacq', 'ramsè', 'seri', 'graphic', 'novel', 'watchmen', 'charact']",1,762.0,1008.0,859.0,774.0,472.0,2
2270,"['gibeon-gibeah', 'plateau', 'destroy', 'shoshenq', 'first', 'half', '10th', 'centuri', 'bce', '1', 'return', 'small', 'citi', 'state', 'preval', 'southern', 'levant', '950', '900', 'bce']",1,1079.0,1320.0,968.0,785.0,990.0,2
2271,"['anoth', 'larg', 'politi', 'emerg', 'northern', 'highland', 'capit', 'eventu', 'tirzah', 'consid', 'precursor', 'kingdom', 'israel', '2', 'consolid', 'import', 'region', 'power', 'first', 'half']",1,1116.0,1205.0,1053.0,904.0,980.0,2
2272,"['9th', 'centuri', 'bce', '3', 'fall', 'neo-assyrian', 'empir', '722', 'bce', ""israel'"", 'southern', 'neighbor', 'kingdom', 'judah', 'emerg', 'second', 'half', '9th', 'centuri', 'bce']",1,1259.0,1728.0,879.0,487.0,764.0,2
2273,"['3', 'later', 'becam', 'client', 'state', 'first', 'neo-assyrian', 'empir', 'neo-babylonian', 'empir', 'revolt', 'latter', 'led', 'destruct', '586', 'bce', 'follow', 'fall', 'babylon', 'achaemenid']",1,1404.0,1744.0,1350.0,1258.0,797.0,2
2278,"['eastern', 'mediterranean', 'seaboard', '–', 'levant', '–', 'stretch', '400', 'mile', 'north', 'south', 'tauru', 'mountain', 'sinai', 'peninsula', '70', '100', 'mile', 'east', 'west']",1,849.0,944.0,951.0,659.0,1159.0,3
2279,"['sea', 'arabian', 'desert', '9', 'coastal', 'plain', 'southern', 'levant', 'broad', 'south', 'narrow', 'north', 'back', 'southernmost', 'portion', 'zone', 'foothil', 'shfela', 'like', 'plain']",1,487.0,480.0,535.0,378.0,693.0,5
2280,"['narrow', 'goe', 'northward', 'end', 'promontori', 'mount', 'carmel', 'east', 'plain', 'shfela', 'mountain', 'ridg', 'hill', 'countri', 'judah', 'south', 'hill', 'countri', 'ephraim', 'north']",1,453.0,523.0,562.0,625.0,571.0,4
2281,"['galile', 'mount', 'lebanon', 'east', 'lie', 'steep-sid', 'valley', 'occupi', 'jordan', 'river', 'dead', 'sea', 'wadi', 'arabah', 'continu', 'eastern', 'arm', 'red', 'sea', 'beyond']",1,485.0,589.0,501.0,498.0,669.0,2
2283,"['canaan', 'late', 'bronz', 'age', 'shadow', 'centuri', 'earlier', 'mani', 'citi', 'abandon', 'other', 'shrank', 'size', 'total', 'settl', 'popul', 'probabl', 'much', 'hundr', 'thousand']",1,1175.0,1413.0,869.0,589.0,1505.0,2
2286,"['canaanit', 'citi', 'state', 'system', 'broke', 'late', 'bronz', 'age', 'collaps', '15', 'canaanit', 'cultur', 'gradual', 'absorb', 'philistin', 'phoenician', 'israelit', '16', 'process', 'gradual']",1,1014.0,907.0,623.0,665.0,1319.0,5
2288,"['archaeologist', 'paula', 'mcnutt', 'say', 'probabl', '...', 'iron', 'age', 'popul', 'began', 'identifi', 'israelit', 'differenti', 'neighbour', 'via', 'prohibit', 'intermarriag', 'emphasi', 'famili', 'histori']",1,594.0,643.0,375.0,356.0,946.0,5
2289,"['late', 'bronz', 'age', '25', 'villag', 'highland', 'increas', '300', 'end', 'iron', 'age', 'settl', 'popul', 'doubl', '20,000', '40,000', '22', 'villag', 'numer', 'larger']",1,882.0,1072.0,967.0,1058.0,2971.0,5
2290,"['north', 'probabl', 'share', 'highland', 'pastor', 'nomad', 'left', 'remain', '23', 'archaeologist', 'historian', 'attempt', 'trace', 'origin', 'villag', 'found', 'imposs', 'identifi', 'distinct', 'featur']",1,690.0,760.0,598.0,474.0,1022.0,5
2291,"['could', 'defin', 'specif', 'israelit', '–', 'collared-rim', 'jar', 'four-room', 'hous', 'identifi', 'outsid', 'highland', 'thu', 'cannot', 'use', 'distinguish', 'israelit', 'site', '24', 'potteri']",1,860.0,650.0,715.0,483.0,1417.0,5
2292,"['highland', 'villag', 'far', 'limit', 'lowland', 'canaanit', 'site', 'develop', 'typolog', 'canaanit', 'potteri', 'came', '25', 'israel', 'finkelstein', 'propos', 'oval', 'circular', 'layout', 'distinguish']",1,419.0,291.0,317.0,263.0,852.0,5
2293,"['earliest', 'highland', 'site', 'notabl', 'absenc', 'pig', 'bone', 'hill', 'site', 'could', 'taken', 'marker', 'ethnic', 'other', 'caution', 'common-sens', 'adapt', 'highland', 'life', 'necessarili']",1,454.0,321.0,325.0,236.0,1195.0,5
2294,"['bibl', 'unearth', '2001', 'finkelstein', 'silberman', 'summaris', 'recent', 'studi', 'describ', '1967', 'israelit', 'heartland', 'highland', 'western', 'palestin', 'virtual', 'archaeolog', 'terra', 'incognita', 'sinc']",1,342.0,375.0,268.0,248.0,536.0,5
2296,"['exist', 'land', 'israel', 'earlier', 'iron', 'age', '27', 'new', 'cultur', 'characteris', 'lack', 'pork', 'remain', 'wherea', 'pork', 'form', '20', 'philistin', 'diet', 'place']",1,960.0,1030.0,860.0,654.0,1412.0,5
2298,"['survey', 'revolution', 'studi', 'earli', 'israel', 'discoveri', 'remain', 'dens', 'network', 'highland', 'villag', '–', 'appar', 'establish', 'within', 'span', 'gener', '–', 'indic', 'dramat']",1,934.0,944.0,958.0,747.0,1538.0,5
2301,"['unusu', 'favour', 'climat', 'condit', 'first', 'two', 'centuri', 'iron', 'age', 'ii', 'brought', 'expans', 'popul', 'settlement', 'trade', 'throughout', 'region', '31', 'central', 'highland']",1,1302.0,1581.0,1313.0,871.0,1464.0,2
2303,"['seri', 'campaign', 'direct', 'area', '32', 'israel', 'clearli', 'emerg', 'first', 'half', '9th', 'centuri', 'bce', '3', 'attest', 'assyrian', 'king', 'shalmanes', 'iii', 'name']",1,1197.0,1590.0,1195.0,637.0,872.0,2
2306,"['success', 'throw', 'oppress', 'hous', 'omri', 'e', 'israel', 'bear', 'gener', 'thought', 'earliest', 'extra-bibl', 'refer', 'name', 'yahweh', '33', 'centuri', 'later', 'israel', 'came']",1,911.0,1124.0,795.0,494.0,795.0,2
2307,"['increas', 'conflict', 'expand', 'neo-assyrian', 'empir', 'first', 'split', 'territori', 'sever', 'smaller', 'unit', 'destroy', 'capit', 'samaria', '722', 'bce', 'biblic', 'assyrian', 'sourc', 'speak']",1,980.0,1112.0,818.0,945.0,714.0,2
2308,"['massiv', 'deport', 'peopl', 'israel', 'replac', 'settler', 'part', 'empir', '–', 'popul', 'exchang', 'establish', 'part', 'assyrian', 'imperi', 'polici', 'mean', 'break', 'old', 'power']",1,1239.0,1495.0,1148.0,1087.0,1094.0,2
2309,"['judah', 'emerg', 'oper', 'kingdom', 'somewhat', 'later', 'israel', 'second', 'half', '9th', 'centuri', 'bce', '3', 'subject', 'one', 'consider', 'controversi', '35', 'indic', '10th']",1,1022.0,1255.0,863.0,585.0,883.0,2
2310,"['9th', 'centuri', 'bce', 'southern', 'highland', 'divid', 'number', 'centr', 'none', 'clear', 'primaci', '36', 'reign', 'hezekiah', 'c', '715', '686', 'bce', 'notabl', 'increas']",1,732.0,937.0,585.0,358.0,767.0,2
2313,"['storag', 'jar', 'handl', 'excav', 'strata', 'around', 'form', ""sennacherib'"", 'destruct', 'appear', 'use', 'throughout', ""sennacherib'"", '29', 'year', 'reign', 'along', 'bulla', 'seal', 'document']",1,946.0,815.0,730.0,504.0,1576.0,5
2314,"['7th', 'centuri', 'jerusalem', 'grew', 'contain', 'popul', 'mani', 'time', 'greater', 'earlier', 'achiev', 'clear', 'domin', 'neighbour', '39', 'occur', 'time', 'israel', 'destroy', 'neo-assyrian']",1,1049.0,1473.0,947.0,668.0,1119.0,2
2315,"['empir', 'probabl', 'result', 'cooper', 'arrang', 'assyrian', 'establish', 'judah', 'assyrian', 'vassal', 'state', 'control', 'valuabl', 'oliv', 'industri', '39', 'judah', 'prosper', 'vassal', 'state']",1,810.0,1146.0,746.0,1070.0,461.0,2
2316,"['despit', 'disastr', 'rebellion', 'sennacherib', 'last', 'half', '7th', 'centuri', 'bce', 'assyria', 'suddenli', 'collaps', 'ensu', 'competit', 'egypt', 'neo-babylonian', 'empir', 'control', 'land', 'led']",1,1132.0,1476.0,882.0,682.0,550.0,2
2318,"['41', 'jerusalem', 'probabl', 'total', 'abandon', 'much', 'smaller', 'previous', 'town', 'mizpah', 'benjamin', 'rel', 'unscath', 'northern', 'section', 'kingdom', 'becam', 'capit', 'new', 'babylonian']",1,775.0,894.0,765.0,645.0,627.0,2
2321,"['babylonian', 'conquest', 'entail', 'destruct', 'jerusalem', 'templ', 'liquid', 'entir', 'infrastructur', 'sustain', 'judah', 'centuri', '45', 'signific', 'casualti', 'state', 'ideolog', 'zion', 'theolog', '46']",1,691.0,950.0,516.0,520.0,283.0,2
2323,"['commun', '–', 'king', 'priest', 'scribe', 'prophet', '–', 'reformul', 'concept', 'commun', 'faith', 'polit', '48', 'exil', 'commun', 'babylon', 'thu', 'becam', 'sourc', 'signific']",1,1177.0,1324.0,1252.0,818.0,971.0,3
